country,location_name,month,temperature_celsius,feels_like_celsius,humidity,precip_mm,wind_kph,uv_index,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,year,month
Afghanistan,Kabul,2024-05,20.30588235,20.35882353,38.05882353,0.108823529,11.51764706,3.764705882,7.894117647,17.41176471,1,2024,5
Afghanistan,Kabul,2024-06,25.59,24.60333333,24.83333333,0.072666667,17.11,6.5,7.38,16.78666667,1,2024,6
Afghanistan,Kabul,2024-07,31.30344828,29.47586207,17.93103448,0.000344828,20.73103448,7.75862069,9.065517241,23.59655172,1.068965517,2024,7
Afghanistan,Kabul,2024-08,30.8483871,29.31612903,20.5483871,0.037096774,20.19677419,7.483870968,9.638709677,22.67419355,1.032258065,2024,8
Afghanistan,Kabul,2024-09,28.21666667,26.39,13.73333333,0.014333333,12.22333333,7,20.99683333,42.79166667,1.666666667,2024,9
Afghanistan,Kabul,2024-10,21.98709677,21.63548387,21.70967742,0.101612903,6.461290323,4.183870968,26.03129032,50.875,2.032258065,2024,10
Afghanistan,Kabul,2024-11,15.67,15.65666667,27.46666667,0.002,4.646666667,2.76,19.04883333,29.76033333,1.7,2024,11
Afghanistan,Kabul,2024-12,7.174193548,6.922580645,22.38709677,0.000322581,4.235483871,0.632258065,15.39677419,20.72,1.419354839,2024,12
Afghanistan,Kabul,2025-01,1.312903226,-0.638709677,58.87096774,0.074516129,6.961290323,0.85483871,28.25129032,33.96241935,2,2025,1
Afghanistan,Kabul,2025-02,4.789285714,3.317857143,47.85714286,0.050714286,7.139285714,1.65,22.21982143,41.03035714,1.785714286,2025,2
Afghanistan,Kabul,2025-03,11.99354839,11.48709677,33.03225806,0.063870968,6.322580645,3.558064516,14.81790323,34.03403226,1.35483871,2025,3
Afghanistan,Kabul,2025-04,22.98666667,22.36666667,18.4,0.001333333,6.613333333,7.653333333,18.62333333,52.70033333,1.7,2025,4
Afghanistan,Kabul,2025-05,27.26774194,25.78064516,17.48387097,0.140322581,10.78387097,9.390322581,24.11564516,67.05951613,1.903225806,2025,5
Afghanistan,Kabul,2025-06,31.01333333,29.06,13,0.002333333,12.12666667,10.35333333,32.0605,104.377,2.166666667,2025,6
Afghanistan,Kabul,2025-07,32.88064516,30.83225806,11.74193548,0.000645161,9.677419355,10.22903226,30.6383871,106.4287097,2.096774194,2025,7
Afghanistan,Kabul,2025-08,30.48064516,28.42580645,15.35483871,0,6.870967742,10.82580645,30.4533871,93.44290323,2.064516129,2025,8
Afghanistan,Kabul,2025-09,26.83333333,25.32333333,17.26666667,0,5.503333333,8.823333333,25.45033333,46.8655,1.966666667,2025,9
Afghanistan,Kabul,2025-10,20.56666667,20.34,19,0,4.873333333,6.746666667,15.63,19.35666667,1.333333333,2025,10
Albania,Tirana,2024-05,25.64705882,27.32352941,57.52941176,0.295294118,13.07647059,5.411764706,10.27058824,24.55294118,1.352941176,2024,5
Albania,Tirana,2024-06,30.84333333,32.66666667,45.76666667,0.053333333,14.34666667,7.133333333,9.753333333,18.04333333,1.166666667,2024,6
Albania,Tirana,2024-07,34.63793103,35.18965517,37,0.109310345,18.78965517,8.172413793,8.631034483,11.13448276,1.103448276,2024,7
Albania,Tirana,2024-08,34.98064516,34.73548387,32.12903226,0.022258065,18.12580645,8.129032258,7.712903226,9.041935484,1.064516129,2024,8
Albania,Tirana,2024-09,27.51666667,28.30333333,48.26666667,0.389333333,9.12,6.133333333,11.73566667,15.87283333,1.233333333,2024,9
Albania,Tirana,2024-10,21.83548387,22.61290323,56.80645161,0.141612903,6.135483871,3.158064516,20.98854839,28.29306452,1.709677419,2024,10
Albania,Tirana,2024-11,13.78333333,13.61333333,59.13333333,0.086333333,6.133333333,1.21,20.0725,24.1795,1.633333333,2024,11
Albania,Tirana,2024-12,11.74193548,11.38064516,62.58064516,0.313225806,6.777419355,1.106451613,17.78983871,20.88112903,1.516129032,2024,12
Albania,Tirana,2025-01,13.42580645,13.21290323,58.96774194,0.105806452,6.280645161,1.416129032,17.59290323,24.06193548,1.483870968,2025,1
Albania,Tirana,2025-02,12.42857143,12.48214286,52.42857143,0.020357143,5.175,1.842857143,22.43785714,26.46821429,1.75,2025,2
Albania,Tirana,2025-03,16.06774194,15.96774194,51.61290323,0.240322581,7.719354839,2.638709677,21.48983871,30.84129032,1.741935484,2025,3
Albania,Tirana,2025-04,18.40333333,18.60666667,49.83333333,0.144,8.13,4.16,17.1865,23.94516667,1.666666667,2025,4
Albania,Tirana,2025-05,21.66451613,22.59032258,50.96774194,0.212258065,8.222580645,4.767741935,15.49822581,20.37387097,1.419354839,2025,5
Albania,Tirana,2025-06,29.32333333,29.07666667,38.36666667,0,7.836666667,6.56,21.682,29.674,1.766666667,2025,6
Albania,Tirana,2025-07,30.36129032,29.08387097,36.58064516,0.01483871,12.07741935,5.948387097,19.8666129,28.3766129,1.741935484,2025,7
Albania,Tirana,2025-08,28.22258065,27.21935484,44.32258065,0.008709677,8.916129032,4.312903226,20.4216129,25.6433871,1.741935484,2025,8
Albania,Tirana,2025-09,23.37333333,24.00333333,60.26666667,0.027333333,6.223333333,2.66,19.28483333,25.68783333,1.666666667,2025,9
Albania,Tirana,2025-10,14.50666667,14.34666667,65.8,0.058666667,6.033333333,1.053333333,10.79,12.97,1.2,2025,10
Algeria,Algiers,2024-05,26.11764706,27.83529412,45.70588235,0.000588235,22.61764706,6,8.682352941,18.00588235,1.117647059,2024,5
Algeria,Algiers,2024-06,27.89,29.41666667,46.73333333,0,23.71333333,6.6,6.65,14.08333333,1.1,2024,6
Algeria,Algiers,2024-07,30.29642857,33.2,53.82142857,0,16.84642857,7.321428571,13.54285714,29.30714286,1.357142857,2024,7
Algeria,Algiers,2024-08,31.48387097,35.09032258,51.74193548,0,17.58064516,7.419354839,14.34516129,30.59677419,1.387096774,2024,8
Algeria,Algiers,2024-09,28.43,30.91333333,50.63333333,0.018333333,15.01,6.533333333,19.2785,34.79383333,1.633333333,2024,9
Algeria,Algiers,2024-10,23.76774194,24.61290323,62.12903226,0.02516129,10.42580645,2.84516129,23.77548387,44.20903226,1.774193548,2024,10
Algeria,Algiers,2024-11,19.44333333,19.52,66.3,0.085666667,9.496666667,0.983333333,35.705,70.5405,2.266666667,2024,11
Algeria,Algiers,2024-12,14.7483871,14.59032258,61.58064516,0.060322581,10.33225806,1.374193548,21.92548387,32.27951613,1.741935484,2024,12
Algeria,Algiers,2025-01,15.01935484,14.53225806,63.03225806,0.100322581,13.22258065,1.493548387,17.92709677,29.28967742,1.516129032,2025,1
Algeria,Algiers,2025-02,15.425,15.325,65.78571429,0.050714286,7.921428571,2.196428571,24.01696429,32.15035714,1.892857143,2025,2
Algeria,Algiers,2025-03,17.61612903,17.58064516,60.96774194,0.041935484,15.07096774,2.177419355,29.22403226,61.00225806,1.967741935,2025,3
Algeria,Algiers,2025-04,19.7,19.88333333,59.13333333,0.066666667,11.74333333,2.916666667,24.2535,43.98683333,1.833333333,2025,4
Algeria,Algiers,2025-05,22.27419355,22.94193548,60.29032258,0.092580645,11.95806452,3.174193548,22.02096774,42.4783871,1.709677419,2025,5
Algeria,Algiers,2025-06,28.50333333,30.07,55.1,0,10.46333333,4.02,29.68633333,53.539,2.1,2025,6
Algeria,Algiers,2025-07,29.34193548,32.14516129,55.80645161,0.004193548,12.26129032,3.2,22.08064516,43.53467742,1.903225806,2025,7
Algeria,Algiers,2025-08,27.71290323,28.91290323,55.22580645,0,9.725806452,2.25483871,26.60419355,46.40516129,1.903225806,2025,8
Algeria,Algiers,2025-09,24.24333333,25.92333333,69.26666667,0.006,9.053333333,1.226666667,24.57266667,45.864,1.966666667,2025,9
Algeria,Algiers,2025-10,19.28,19.53333333,70.06666667,0.001333333,8.926666667,0.506666667,13.04333333,23.79666667,1.2,2025,10
Andorra,Andorra La Vella,2024-05,12.42352941,11.48823529,60.88235294,0.351764706,9.876470588,3.176470588,0.929411765,1.211764706,1,2024,5
Andorra,Andorra La Vella,2024-06,17.46,17.55666667,53.2,0.180333333,10.67333333,4.266666667,1.996666667,4.98,1,2024,6
Andorra,Andorra La Vella,2024-07,24.01034483,23.79310345,37.44827586,0.11,13.07241379,6,3.237931034,7.575862069,1,2024,7
Andorra,Andorra La Vella,2024-08,23.41612903,23.49677419,42.16129032,0.13,9.180645161,5.516129032,3.664516129,5.309677419,1,2024,8
Andorra,Andorra La Vella,2024-09,14.58,14.07666667,55.03333333,0.311,9.94,3.9,3.607666667,5.529,1,2024,9
Andorra,Andorra La Vella,2024-10,11.59354839,10.94516129,67,0.036774194,8.580645161,1.764516129,5.108387097,11.70870968,1.096774194,2024,10
Andorra,Andorra La Vella,2024-11,6.143333333,4.866666667,74.63333333,0.087,6.846666667,0.656666667,7.023833333,16.15666667,1.133333333,2024,11
Andorra,Andorra La Vella,2024-12,2.964516129,1.04516129,69.38709677,0.07,8.319354839,0.980645161,3.019677419,6.254193548,1,2024,12
Andorra,Andorra La Vella,2025-01,2.035483871,-0.087096774,66.48387097,0.120322581,8.025806452,0.958064516,2.59,4.356451613,1,2025,1
Andorra,Andorra La Vella,2025-02,4.128571429,2.682142857,67.60714286,0.05,6.710714286,1.539285714,4.327678571,7.479285714,1,2025,2
Andorra,Andorra La Vella,2025-03,1.180645161,-1.525806452,82.51612903,0.207419355,9.516129032,1.951612903,6.450096774,10.98183871,1.032258065,2025,3
Andorra,Andorra La Vella,2025-04,7.21,5.686666667,63.7,0.199,8.566666667,2.786666667,6.365466667,9.098166667,1,2025,4
Andorra,Andorra La Vella,2025-05,11.03870968,10.20322581,54.87096774,0.131290323,7.558064516,3.512903226,6.822548387,12.13777419,1.064516129,2025,5
Andorra,Andorra La Vella,2025-06,21.09333333,21.3,43.03333333,0.046,8.026666667,4.416666667,10.42536667,23.37683333,1.1,2025,6
Andorra,Andorra La Vella,2025-07,19.07741935,19.18709677,50.41935484,0.086129032,7.658064516,3.629032258,6.624193548,10.0616129,1,2025,7
Andorra,Andorra La Vella,2025-08,20.79354839,20.60322581,44.96774194,0.06516129,6.296774194,2.174193548,11.14774194,21.31080645,1.193548387,2025,8
